Code,Index,IsTurnedOn,Name,Long Name,NumCohorts,NumGeneTypes,NumStages,NumSpawns,NumAgeClassSize,NumStocks,VerticallyMigrates,HorizontallyMigrates,isFished,IsImpacted,isTAC,GroupType,isPredator,IsCover,isSiliconDep,isAssessed,IsCatchGrazer,OverWinters,isCultured,isHabDepend
KR,14,1,Krill,Krill,6,1,2,1,1,1,1,1,1,1,1,LG_ZOO,1,0,0,1,0,0,0,0
FP,15,1,Fish_Pelagic,Fish Pelagic,10,1,2,1,2,1,1,0,0,1,0,FISH,1,0,0,0,0,0,0,0
FM,16,1,Fish_Mesopelagic,Fish Mesopelagic,4,1,2,1,1,1,1,0,0,1,0,FISH,1,0,0,0,0,0,0,0
FT,17,1,Toothfish,Toothfish,20,1,2,1,3,1,1,0,1,1,1,FISH,1,0,0,1,0,0,0,0
FI,18,1,Icefish,Icefish,6,1,2,1,1,1,1,0,1,1,1,FISH,1,0,0,1,0,0,0,0
CEP,19,1,Cephalopods,Cephalopods,1,1,1,1,1,1,1,0,0,1,0,CEP,1,0,0,0,0,0,0,0
SF,20,1,Antarctic_Fur_Seal,Antarctic Fur Seal,10,1,2,1,2,1,1,0,0,1,0,MAMMAL,1,0,0,0,0,0,0,0
SE,21,1,Elephant_Seal,Elephant Seal,10,1,2,1,2,1,1,0,0,1,0,MAMMAL,1,0,0,0,0,0,0,0
SC,22,1,Crabeater_Seal,Crabeater Seal,10,1,2,1,3,1,1,0,0,1,0,MAMMAL,1,0,0,0,0,0,0,1
SL,23,1,Leopard_Seal,Leopard Seal,15,1,2,1,2,1,1,0,0,1,0,MAMMAL,1,0,0,0,0,0,0,1
SO,24,1,Other_Seal,Other Seal,10,1,2,1,3,1,1,0,0,1,0,MAMMAL,1,0,0,0,0,0,0,0
PNA,25,1,Adelie_Penguin,Adelie Penguin,15,1,3,1,1,1,1,0,0,1,0,BIRD,1,0,0,0,0,0,0,1
PNE,26,1,Emperor_Penguin,Emperor Penguin,10,1,3,1,2,1,1,0,0,1,0,BIRD,1,0,0,0,0,0,0,1
PNO,27,1,Other_Penguins,Other Penguins,10,1,3,1,1,1,1,0,0,1,0,BIRD,1,0,0,0,0,0,0,0
SBA,28,1,Albatross,Albatross,20,1,2,1,2,1,0,1,0,1,0,BIRD,1,0,0,0,0,0,0,0
SBS,29,1,Skuas,Skuas,15,1,2,1,2,1,0,1,0,1,0,BIRD,1,0,0,0,0,0,0,0
SBO,30,1,Other_Seabirds,Other Seabirds,12,1,2,1,2,1,0,1,0,1,0,BIRD,1,0,0,0,0,0,0,0
WHM,31,1,Minke_Whales,Minke Whales,15,1,2,1,3,1,1,1,1,1,1,MAMMAL,1,0,0,0,0,0,0,0
WHH,32,1,Other_Baleen_Whales,Other Baleen Whales,20,1,2,1,3,1,1,1,0,1,0,MAMMAL,1,0,0,0,0,0,0,0
WHA,33,1,Orca-A,Orca A,20,1,2,1,4,1,1,0,0,1,0,MAMMAL,1,0,0,0,0,0,0,0
WHB,34,1,Orca-B,Orca B,20,1,2,1,4,1,1,0,0,1,0,MAMMAL,1,0,0,0,0,0,0,0
WHC,35,1,Orca-C,Orca C,20,1,2,1,4,1,1,0,0,1,0,MAMMAL,1,0,0,0,0,0,0,0
WHO,36,1,Sperm_Whales,Sperm Whales,25,1,2,1,3,1,1,0,0,1,0,MAMMAL,1,0,0,0,0,0,0,0
PB,37,1,Pelagic_Bacteria,Pelagic Bacteria,1,1,1,1,1,1,0,0,0,0,0,PL_BACT,0,0,0,0,0,0,0,0
BB,38,1,Sediment_bacteria,Sediment bacteria,1,1,1,1,1,1,0,0,0,0,0,SED_BACT,0,0,0,0,0,0,0,0
IB,39,1,Ice_Bacteria,Ice Bacteria,1,1,1,1,1,1,0,0,0,0,0,ICE_BACT,0,0,0,0,0,0,0,1
DL,40,1,Labile_Detritus,Labile Detritus,1,1,1,1,1,1,0,0,0,0,0,LAB_DET,0,0,0,0,0,0,0,0
DR,41,1,Refractory_Detritus,Refractory Detritus,1,1,1,1,1,1,0,0,0,0,0,REF_DET,0,0,0,0,0,0,0,0
DC,42,1,Carrion,Carrion,1,1,1,1,1,1,0,0,0,0,0,CARRION,0,0,0,0,0,0,0,0
